6211DV,"MULTIPOLYGON(((176522.1234 318062.1414, 176543.6268 318036.1156, 176514.1171 318038.4749, 176501.6856 318073.2865, 176522.1234 318062.1414)), ((176575.5739 318057.8077, 176556.6502 318063.2373, 176567.4462 318083.2328, 176604.1142 318065.3936, 176575.5739 318057.8077)))"
6211DW,"POLYGON((176592.8485 317981.8624, 176561.5844 318003.699, 176563.8391 318032.6111, 176609.9112 318035.9894, 176592.8485 317981.8624))"
6211EA,"POLYGON((176322.0853 317787.4617, 176329.9057 317726.4199, 176307.8338 317709.9284, 176284.0492 317726.524, 176288.742 317792.8072, 176304.8996 317801.435, 176322.0853 317787.4617))"
6211EB,"POLYGON((176395.2056 317783.685, 176373.8268 317749.9408, 176329.9057 317726.4199, 176328.2485 317793.9974, 176395.2056 317783.685))"
6211EC,"POLYGON((176439.5522 317818.7167, 176467.562586 317775.884129, 176418.5914 317752.8483, 176395.2056 317783.685, 176439.5522 317818.7167))"
6211ED,"POLYGON((176542.2254 317796.1566, 176519.9247 317766.4421, 176495.7381 317829.9609, 176508.7846 317836.4332, 176542.2254 317796.1566))"
6211EE,"POLYGON((176493.9034 317822.5638, 176517.9889 317751.443, 176473.3953 317764.61765, 176440.7 317742.2698, 176440.7 317765.6741, 176467.562586 317775.884129, 176493.9034 317822.5638))"
6211EG,"POLYGON((176511.1317 317936.4731, 176499.6311 317892.7052, 176486.7931 317891.9398, 176477.4591 317947.9867, 176511.1317 317936.4731))"
6211EH,"POLYGON((176520.6689 317864.7776, 176495.7381 317829.9609, 176486.7931 317891.9398, 176520.6689 317864.7776))"
6211EJ,"POLYGON((176484.9492 317894.6873, 176452.5897 317889.6005, 176449.7338 317914.0828, 176477.4287 317944.0089, 176484.9492 317894.6873))"
6211EK,"POLYGON((176486.7931 317891.9398, 176493.9034 317822.5638, 176455.0116 317866.1486, 176452.5897 317889.6005, 176486.7931 317891.9398))"
6211EL,"POLYGON((176590.743 317974.33, 176549.535 317933.9712, 176511.1317 317936.4731, 176481.957 317971.8614, 176590.743 317974.33))"
6211EM,"POLYGON((176592.8485 317981.8624, 176486.6271 317975.372, 176487.4534 317991.83485, 176561.5844 318003.699, 176592.8485 317981.8624))"
6211EN,"POLYGON((176618.0241 317823.668, 176628.0506 317774.9629, 176593.1045 317796.9486, 176594.1573 317830.4865, 176531.2233 317865.1296, 176582.8901 317895.2744, 176592.392567 317915.826867, 176549.535 317933.9712, 176587.0563 317969.9142, 176618.0241 317823.668))"
6211EP,"POLYGON((176549.535 317933.9712, 176592.392567 317915.826867, 176577.42675 317887.40735, 176520.6689 317864.7776, 176499.6311 317892.7052, 176511.1317 317936.4731, 176549.535 317933.9712))"
6211ER,"POLYGON((176593.1045 317796.9486, 176525.449 317803.3138, 176508.7846 317836.4332, 176520.6689 317864.7776, 176594.1573 317830.4865, 176593.1045 317796.9486))"
6211ES,"POLYGON((176749.8016 317826.8442, 176815.569 317545.1051, 176697.6768 317525.1675, 176657.6029 317744.3054, 176627.67845 317761.523, 176626.1302 317744.1298, 176532.3353 317740.1997, 176517.9889 317751.443, 176520.636 317763.5804, 176571.9671 317764.8105, 176576.35225 317747.28455, 176577.9673 317765.4362, 176624.29185 317768.405, 176618.0241 317823.668, 176631.9888 317819.8385, 176652.484467 317763.849533, 176646.9768 317792.7151, 176662.1974 317813.0458, 176741.5122 317838.3966, 176749.8016 317826.8442))"
6211ET,"POLYGON((176628.0506 317774.9629, 176517.6462 317764.2636, 176542.2254 317796.1566, 176593.1045 317796.9486, 176628.0506 317774.9629))"
6211EV,"POLYGON((176663.2272 317694.0969, 176629.5076 317732.3463, 176627.67845 317761.523, 176657.6029 317744.3054, 176663.2272 317694.0969))"
6211EW,"POLYGON((176626.1302 317744.1298, 176607.60955 317726.76376, 176594.1956 317742.405, 176626.1302 317744.1298))"
6211EX,"MULTIPOLYGON(((176680.0524 317611.2393, 176676.2696 317591.8021, 176648.2984 317596.8817, 176673.076467 317621.843867, 176652.6005 317641.7819, 176668.7393 317678.0192, 176680.0524 317611.2393)), ((176637.2621 317721.9, 176663.2272 317694.0969, 176644.5811 317683.669, 176637.2621 317721.9)), ((176637.2621 317721.9, 176623.319 317712.0045, 176620.6548 317735.3536, 176637.2621 317721.9)))"
